wav_file,label,sig_mean,sig_std,rmse_mean,rmse_std,silence,harmonic,auto_corr_max,auto_corr_std
Ses01F_impro01_F000,7,0.0040290533,0.007451058,0.00504502,0.0054657757,0.125,-0.00778696448833216,0.043667215455283556,0.1659181838175851
Ses01F_impro01_F001,7,0.004209459,0.009823184,0.0053094905,0.008218118,0.49166666666666664,-0.006072225460229674,0.08340648128111808,0.16075833138094772
Ses01F_impro01_F002,7,0.003927843,0.007828992,0.004940693,0.006064436,0.3851851851851852,-0.01021798379952088,0.04997780748041232,0.1129357206884365
Ses01F_impro01_F003,8,0.00624479,0.012629919,0.0077602393,0.009962038,0.5968992248062015,-0.007843314051569905,0.13048165160010328,0.3620250638852063
Ses01F_impro01_F004,8,0.019210372,0.033762105,0.023839382,0.023779945,0.3864406779661017,-0.013735672837356105,0.8600414466991999,2.66929628430889
Ses01F_impro01_F005,7,0.03008521,0.05454977,0.037255485,0.039751105,0.4281609195402299,-0.0053716221373179,2.2803589065306826,7.328891730356249
Ses01F_impro01_F006,4,0.046330236,0.07460088,0.05679853,0.048212327,0.2556390977443609,-0.00927617475099396,3.9775440341057418,21.287299077722558
Ses01F_impro01_F007,4,0.019277282,0.035997722,0.02453134,0.026289692,0.378099173553719,-0.005933191914664349,1.0155939607651252,2.5820827677308955
Ses01F_impro01_F008,4,0.035487443,0.055962346,0.044358328,0.03388445,0.26521739130434785,-0.01102293754229322,2.1918974907594646,3.5756433927930105
Ses01F_impro01_F009,4,0.01255587,0.026706276,0.016334279,0.02108736,0.5310734463276836,-0.007303001893887995,0.5938871234733849,1.5741123682199896
Ses01F_impro01_F010,8,0.03932733,0.06657703,0.04915167,0.04474409,0.2857142857142857,-0.0032694335914129624,3.282271966860423,7.728752705080854
Ses01F_impro01_F011,4,0.025528332,0.04299748,0.03232312,0.028348306,0.3076923076923077,-0.0020284735455788905,1.3630060718430543,4.201427409338771
Ses01F_impro01_F012,0,0.02428331,0.049655557,0.0312184,0.038595486,0.4430379746835443,-0.008096757483144756,2.015968185400226,3.687134553361618
Ses01F_impro01_F013,4,0.019435046,0.041246306,0.024393057,0.03256119,0.4671280276816609,0.004585283022606745,1.4136728497090811,2.5129510396561434
Ses01F_impro01_F014,7,0.0178419,0.031221608,0.02262648,0.021218164,0.39359267734553777,-0.006254842901398661,0.7363812759360433,1.749664786322793
Ses01F_impro01_F015,4,0.09769233,0.15061125,0.122023165,0.087491564,0.18143459915611815,0.06602046778425574,15.693841668955683,29.336077831624955
Ses01F_impro01_M000,4,0.005812306,0.011500939,0.0072574425,0.008895494,0.5059760956175299,-0.0077787508416804485,0.10731294464252968,0.43504228688188434
Ses01F_impro01_M001,4,0.0029527151,0.005447662,0.0036683881,0.0040268023,0.027950310559006212,-0.008137134500429966,0.023340559668546534,0.17459715754631447
Ses01F_impro01_M002,4,0.013244143,0.023779176,0.016694643,0.016883733,0.39759036144578314,-0.0055775722103135195,0.43419490991156906,1.6126809220204814
Ses01F_impro01_M003,4,0.023541555,0.037678726,0.029580474,0.0233119,0.2875318066157761,-0.006766359092580387,1.0081534463878539,3.317980096567072
Ses01F_impro01_M004,4,0.039574254,0.064004384,0.049049206,0.0410387,0.31275720164609055,-0.0082935630416614,2.9224123269370645,8.046922347079997
Ses01F_impro01_M005,4,0.027871192,0.048312597,0.034917574,0.03336617,0.3871428571428571,-0.003896250291290926,1.7455299173224856,6.942490861322437
Ses01F_impro01_M006,4,0.04233185,0.06928935,0.05201808,0.04566523,0.26814516129032256,-0.0017147374364867574,3.47346753029123,21.888183297007895
Ses01F_impro01_M007,4,0.030513795,0.048887912,0.038562346,0.029980015,0.29739776951672864,-0.005921382125961827,1.6952653837354867,5.268441884212067
Ses01F_impro01_M008,4,0.022234367,0.046537418,0.028035209,0.037132304,0.5631578947368421,-0.00523665448781685,1.7827646377393853,5.726298398913613
Ses01F_impro01_M009,4,0.02713676,0.049711872,0.033780154,0.03639736,0.3978328173374613,-0.0023029531348583987,1.9142284510318994,6.350799483702499
Ses01F_impro01_M010,4,0.02988202,0.050432187,0.038111962,0.03292855,0.31592689295039167,-0.006036887953086989,1.8760742348331072,4.587364021681194
Ses01F_impro01_M011,0,0.021713683,0.043063805,0.027375704,0.033223964,0.3605769230769231,-0.0038248772398219444,1.5009786304768171,5.536876190607676
